size,density,bfs_cost,bfs_time,ucs_cost,ucs_time,greedy_cost,greedy_time,astar_cost,astar_time,mcts_cost,mcts_time,best_algorithm
20,0.27881640849656303,192,0.0002491474151611328,134,0.00038504600524902344,276,7.700920104980469e-05,134,0.00040984153747558594,2440,1.613534927368164,ucs
10,0.3547845967142841,63,3.600120544433594e-05,54,4.9114227294921875e-05,66,2.193450927734375e-05,54,4.291534423828125e-05,1009,0.412935733795166,astar
10,0.32047642911704505,56,5.507469177246094e-05,51,7.104873657226562e-05,88,2.5033950805664062e-05,51,6.890296936035156e-05,4426,0.2586181163787842,astar
20,0.23751691918352197,171,0.0002429485321044922,125,0.0003681182861328125,188,7.295608520507812e-05,125,0.000392913818359375,21478,2.354787826538086,ucs
10,0.42139465583599167,75,3.2901763916015625e-05,56,4.9114227294921875e-05,58,2.47955322265625e-05,56,5.173683166503906e-05,10131,0.4477372169494629,ucs
20,0.3073869331588967,213,0.00019598007202148438,193,0.0002930164337158203,226,6.699562072753906e-05,193,0.00030612945556640625,20178,3.5748369693756104,ucs
20,0.23780259627979683,182,0.0002560615539550781,128,0.00040602684020996094,197,4.673004150390625e-05,128,0.0003998279571533203,8712,1.4623260498046875,astar
20,0.26021193682558963,181,0.00024509429931640625,120,0.0003688335418701172,178,5.412101745605469e-05,120,0.00039696693420410156,20775,1.5005409717559814,ucs
10,0.22360136913177192,69,6.389617919921875e-05,56,9.775161743164062e-05,89,1.9788742065429688e-05,56,9.322166442871094e-05,14264,0.21003198623657227,astar
20,0.2356276618088469,166,0.0002467632293701172,107,0.0003781318664550781,228,6.604194641113281e-05,107,0.00036406517028808594,46481,1.2973718643188477,astar
20,0.38444412502672287,179,0.00012922286987304688,157,0.00018978118896484375,194,6.699562072753906e-05,157,0.00019311904907226562,18052,1.8397760391235352,ucs
20,0.21218137985412863,204,0.0002491474151611328,148,0.0003719329833984375,270,7.009506225585938e-05,148,0.0003948211669921875,82050,2.421170949935913,ucs
20,0.21638193549538343,177,0.00023293495178222656,141,0.0003631114959716797,252,6.794929504394531e-05,141,0.0003960132598876953,13936,2.6283719539642334,ucs
10,0.28056634814170966,99,4.601478576660156e-05,71,6.29425048828125e-05,106,2.193450927734375e-05,71,5.412101745605469e-05,1389,0.39810895919799805,astar
10,0.2263357336041017,75,5.2928924560546875e-05,54,6.794929504394531e-05,89,2.6941299438476562e-05,54,6.794929504394531e-05,5446,0.17351484298706055,ucs
10,0.46952125154811164,73,3.2901763916015625e-05,62,4.7206878662109375e-05,69,2.8848648071289062e-05,62,4.673004150390625e-05,855,0.15647196769714355,astar
10,0.21644991667206884,88,6.914138793945312e-05,61,7.82012939453125e-05,94,2.2172927856445312e-05,61,7.081031799316406e-05,3923,0.170457124710083,astar
10,0.22719055690418039,83,5.793571472167969e-05,65,9.012222290039062e-05,79,2.6941299438476562e-05,65,9.393692016601562e-05,2457,0.21040797233581543,ucs
20,0.2555529572645791,184,0.00024390220642089844,123,0.0003509521484375,219,5.3882598876953125e-05,123,0.00032830238342285156,14587,1.1598408222198486,astar
20,0.21607085126413736,175,0.0002460479736328125,118,0.0003619194030761719,215,4.887580871582031e-05,118,0.0003418922424316406,24440,1.0778048038482666,astar
10,0.2710804416495973,103,6.198883056640625e-05,59,8.606910705566406e-05,86,2.09808349609375e-05,59,7.796287536621094e-05,742,0.10423398017883301,astar
10,0.3070416029550752,98,5.412101745605469e-05,71,6.818771362304688e-05,89,2.3603439331054688e-05,71,6.103515625e-05,872,0.28014612197875977,astar
10,0.22015079705870116,84,5.888938903808594e-05,44,6.318092346191406e-05,75,2.288818359375e-05,44,4.982948303222656e-05,361,0.16344094276428223,astar
20,0.2095237082536617,176,0.0002541542053222656,131,0.00038504600524902344,205,5.888938903808594e-05,131,0.0004169940948486328,20831,2.466336965560913,ucs
20,0.21975441794870185,182,0.00023412704467773438,143,0.0003731250762939453,219,5.602836608886719e-05,143,0.00041103363037109375,67889,2.4686920642852783,ucs
20,0.20989211868791066,173,0.0002498626708984375,122,0.00036716461181640625,194,5.0067901611328125e-05,122,0.00036406517028808594,21343,1.1044001579284668,astar
20,0.2644552333324412,142,0.00022912025451660156,112,0.0003390312194824219,218,8.797645568847656e-05,112,0.00035500526428222656,2648,1.5069372653961182,ucs
